년,월,일,날짜,발생 해역,적조종,밀도,최저 밀도,최대 밀도,수온,최저 수온,최대 수온,염분,,
2015,8,10,2015-8-10,거제시 남부면 저구~통영시 한산면 장사도,Cochlodinium polykrikoides,168.0 ~ 504.0,168,504,23.9 ~ 24.1,23.9,24.1,,,
2019,9,12,2019-9-12,경남 거제 율포∼한산 추봉∼통영 장사,Cochlodinium polykrikoides,520.0 ~ 1640.0,520,1640,22.0 ~ 23.0,22,23,33.0 ~ 33.0,33,33
2019,9,9,2019-9-9,경남 거제 저구∼장사∼통영 추봉,Cochlodinium polykrikoides,592.0 ~ 1500.0,592,1500,22.9 ~ 23.3,22.9,23.3,33.3 ~ 33.4,33.3,33.4
2019,9,13,2019-9-13,경남 거제 저구∼한산 추봉∼통영 장사,Cochlodinium polykrikoides,512.0 ~ 1440.0,512,1440,21.0 ~ 22.0,21,22,32.9 ~ 33.3,32.9,33.3
2020,10,16,2020-10-16,경남 고성 하이면∼ 통영 수우도,Cochlodinium polykrikoides,25.0 ~ 180.0,25,180,20.9 ~ 21.0,20.9,21,30.9 ~ 32.0,30.9,32
2018,8,2,2018-8-2,"경남 고성군 삼산~통영시 사량, 욕지~연화~학림~용초 해역",Cochlodinium polykrikoides,50.0 ~ 1200.0,50,1200,26.0 ~ 29.9,26,29.9,32.0 ~ 32.8,32,32.8
2018,8,3,2018-8-3,경남 고성군~통영시 해역,Cochlodinium polykrikoides,40.0 ~ 1000.0,40,1000,26.8 ~ 29.0,26.8,29,30.0 ~ 33.5,30,33.5
2018,8,4,2018-8-4,경남 고성군~통영시 해역,Cochlodinium polykrikoides,45.0 ~ 700.0,45,700,27.6 ~ 29.6,27.6,29.6,30.1 ~ 33.5,30.1,33.5
2018,8,5,2018-8-5,경남 고성군~통영시 해역,Cochlodinium polykrikoides,30.0 ~ 500.0,30,500,26.4 ~ 27.5,26.4,27.5,30.1 ~ 33.4,30.1,33.4
2022,9,28,2022-9-28,경남 남해군 남해도 ∼ 통영시 해역,Cochlodinium polykrikoides,~,0,0,23.2 ~ 23.6,23.2,23.6,31.1 ~ 32.5,31.1,32.5
2022,9,20,2022-9-20,"경남 남해군 남해도 남동측, 통영시 수우도 남측 해역",Cochlodinium polykrikoides,160.0 ~ 900.0,160,900,24.0 ~ 24.9,24,24.9,31.2 ~ 31.5,31.2,31.5
2022,9,9,2022-9-9,경남 남해군 연안 ∼ 통영시 해역,Cochlodinium polykrikoides,~,0,0,24.4 ~ 24.4,24.4,24.4,31.4 ~ 31.4,31.4,31.4
2022,9,10,2022-9-10,경남 남해군 연안 ∼ 통영시 해역,Cochlodinium polykrikoides,0.0 ~ 0.0,0,0,24.4 ~ 24.4,24.4,24.4,31.4 ~ 31.4,31.4,31.4
2022,9,13,2022-9-13,경남 남해군 연안 ∼ 통영시 해역,Cochlodinium polykrikoides,0.0 ~ 1.0,0,1,22.3 ~ 24.5,22.3,24.5,30.0 ~ 31.7,30,31.7
2022,9,14,2022-9-14,경남 남해군 연안 ∼ 통영시 해역,Cochlodinium polykrikoides,~,0,0,22.3 ~ 24.5,22.3,24.5,30.0 ~ 31.7,30,31.7
2022,9,15,2022-9-15,경남 남해군 연안 ∼ 통영시 해역,Cochlodinium polykrikoides,~,0,0,22.9 ~ 24.0,22.9,24,30.8 ~ 31.7,30.8,31.7
2022,9,8,2022-9-8,경남 남해군∼통영시 외해역,Cochlodinium polykrikoides,1.0 ~ 1.0,1,1,24.4 ~ 24.7,24.4,24.7,31.1 ~ 31.2,31.1,31.2
2022,9,12,2022-9-12,경남 남해도 연안 및 통영시 해역,Cochlodinium polykrikoides,~,0,0,23.3 ~ 23.3,23.3,23.3,31.7 ~ 31.7,31.7,31.7
